"Bangkok, Thailand","23/F M Tower, All Seasons Pl, 87 Wireless Road, Lumpini, Phatumwan, Bangkok 10330 Thailand",Asia Pacific,13.7391,100.548,SYNH
"Beijing, China","Block C 5th Floor, Yintai Centre, No. 2 Jiang Guo Men Wai Street, Chaoyang District, Beijing, China 100022",Asia Pacific,39.907097,116.45913,SYNH
"Bengaluru, India","Block N1, 2nd Floor, Manyata Embassy Business Park, Outer Ring Road, Nagawara, Bengaluru-560045, Karnataka, India",Asia Pacific,13.048147,77.622188,SYNH
"Dalian, China","Room 10C-E,1st floor, Dalian Ascendas IT Park, No. 1 Hui Xian Yuan, Dalian High-tech Industrial Zone, Dalian 116025 P.R.",Asia Pacific,38.858279,121.527892,SYNH
"Gurgaon, India","8th, 14th & 16th Floor, Tower B, Building No. 14, DLF Cyber City, Phase III, Gurgaon 122 002, Haryana, India",Asia Pacific,28.496539,77.094283,SYNH
"Gurgaon, India","3rd Floor, Tower A, 46/4, Presidency Tower, MG Road, Sector 14, Gurgaon, India 122 022",Asia Pacific,28.467652,77.041259,SYNH
"Gurgaon, India","11th Floor, Tower B, Building No.10 , DLF Cyber City, Phase-II, Gurgaon, Haryana, India 122 002",Asia Pacific,28.489029,77.085101,SYNH
Hong Kong,"Level 23, One Island East, 18 Westlands Road, Hong Kong",Asia Pacific,22.286249,114.21359,SYNH
"Hyderabad, India","Unit No.301 & 301B, 3rd Floor, Bldg. No.12B, Raheja Mindspace, HITEC City Madhapur, Hyderabad 500 081",Asia Pacific,17.436831,78.383045,SYNH
"Hyderabad, India","2nd Floor, Block 1, Plot No. 129-132, DLF Cyber City, APHB Colony, Gachibowli, Hyderabad, Telangana 500 032",Asia Pacific,17.447878,78.355125,SYNH
"Jakarta, Indonesia","23rd Floor, ANZ Tower, Jalan Jend. Sudirman Kav. 33A, Jakarta, Indonesia 10220",Asia Pacific,-6.21374,106.817574,SYNH
"Kuala Lumpur, Malaysia","Level 30, The Gardens North Tower, Mid Valley City, Lingkaran Syed Putra, Kuala Lumpur, 59200, Wilayah Persekutuan, Malaysia",Asia Pacific,3.119934,101.676535,SYNH
"Makati City, Philippines","Regus PLT Centre Inc., 18th Floor Philamlife Tower, 8767 Paseo De Roxas, Makati City, Philippines 1226",Asia Pacific,14.557264,121.021859,SYNH
